title,link_canal,subscriber_count,view_count,normalized_views,rank
Ricky Gutierrez,https://www.youtube.com/channel/UCtlAFoYl2aWb6pMiHCctQHA,1160000,107363775,1.0,1.0
The Trading Channel,https://www.youtube.com/channel/UCGL9ubdGcvZh_dvSV2z1hoQ,2400000,101886270,0.948981814396895,2.0
Warrior Trading,https://www.youtube.com/channel/UCBayuhgYpKNbhJxfExYkPfA,1080000,95796085,0.8922570485249797,3.0
Humbled Trader,https://www.youtube.com/channel/UCcIvNGMBSQWwo1v3n-ZRBCw,1190000,68296186,0.6361194546298321,4.0
Live Trading by TraderTV Live,https://www.youtube.com/channel/UCn75vF3UxwWeWPAY4-5Z6HQ,430000,55431657,0.5162975780238725,5.0
Umar Ashraf,https://www.youtube.com/channel/UCir8ZEhgIOLY__2tN1Pi0ig,636000,54203329,0.5048567731527697,6.0
Day Trading Addict,https://www.youtube.com/channel/UCeuG9uHlLCW9zDBu_1hmvRg,691000,36307960,0.3381770061643231,7.0
Marcello Arrambide Español,https://www.youtube.com/channel/UCxMZ_DZ6srFsONEVwlTUhfw,461000,35974882,0.3350746748612369,8.0
Oliver Velez Trading,https://www.youtube.com/channel/UCmD96zZeKnYof2jO1ON6acA,323000,27648145,0.25751837619346,9.0
Patrick Wieland,https://www.youtube.com/channel/UCTovmBbgOEgi4iXqSH3IxjQ,227000,24787823,0.2308769694433713,10.0
Meir Barak - Day Trading ,https://www.youtube.com/channel/UCtJ1KC1kKopCNic9gh69Y8A,110000,20304324,0.1891170834855611,11.0
Daily Help Trading,https://www.youtube.com/channel/UCnaAu_bJMAqQdL4NP96CuNw,127000,12718352,0.1184603652395791,12.0
LamboRaul,https://www.youtube.com/channel/UCNL703coQ3hmsd5nZbbxk7g,174000,8900133,0.0828969827113474,13.0
Bear Bull Traders,https://www.youtube.com/channel/UCfO2yCpx6_XU-xovhpJuaYw,93400,8974883,0.083593213819093,14.0
Trades by Matt,https://www.youtube.com/channel/UCAiadqtIuxMOBbzMHGk_aYQ,164000,7948615,0.0740344217591082,15.0
Day Trading Radio,https://www.youtube.com/channel/UCTRIFOak6FixJMP-vqz3WGA,49000,6404193,0.0596494767439017,16.0
The Daily Traders,https://www.youtube.com/channel/UCAYFc-U0qJJfx6i-0r3HlZw,117000,6234472,0.0580686735353707,17.0
C0TT0NC4NDYTA,https://www.youtube.com/channel/UChULbX89jjbCEDhGn56_yuw,86600,5341873,0.0497548917220915,18.0
Precision Day Trading,https://www.youtube.com/channel/UC9NtgXCNkQSe5rP00v5QduA,27900,3493486,0.0325387776277426,19.0
SPY Day Trading,https://www.youtube.com/channel/UCk1rmu6QGDCGcgOqudO_i1w,25500,2158991,0.0201091196728132,20.0
Day Trading Micro Futures,https://www.youtube.com/channel/UC3WzyRqTuFn2iBjBPu-D6HA,23100,1444026,0.0134498437671365,21.0
Day Trader Next Door,https://www.youtube.com/channel/UC-uhkF3VvqJjp-u4Ye2S8KQ,15800,1272552,0.0118527128912894,22.0
1215 Day Trading,https://www.youtube.com/channel/UCJvCaDLXHvEkkQnAOT2Hp0g,19800,1021292,0.009512444956411,23.0
SpeculatorSeth Day Trading,https://www.youtube.com/channel/UC3G9qIPQkvMowZGWw1qM7ZQ,13300,905666,0.0084354895308031,24.0
No BS Day Trading,https://www.youtube.com/channel/UCW-m-lEeboc7OQ8pNTuWpBg,15300,537588,0.0050071637291069,25.0
Day Trading for Success,https://www.youtube.com/channel/UCCX1QsVcccutT3CpXP8IHLQ,7200,418316,0.0038962489908723,26.0
TRADING తెలుగు,https://www.youtube.com/channel/UCB60rq8a3o4O2DHewZMjYmQ,6000,239748,0.0022330436872213,27.0
School Of Day Traders,https://www.youtube.com/channel/UCKjEkIr6dx6BpJ4IMG2b63A,7870,225936,0.0021043969439412,28.0
Alpha Day Trading,https://www.youtube.com/channel/UC2EkwDwsZ6FWuFEatWlZTfw,8850,218881,0.00203868576715,29.0
Real Day Trading,https://www.youtube.com/channel/UCA4t6TxkuoPBjkZbL3cMTUw,7410,213004,0.0019839466337691,30.0
Day Trade with Tony,https://www.youtube.com/channel/UCK7wRzcJfOOypnorQ7It3FA,2390,191316,0.0017819418141733,31.0
Day Trading Official,https://www.youtube.com/channel/UC2SNTrhzkUeM0Kue4iGeRxw,2860,165775,0.0015440496573448,32.0
Kelevra Day Trading,https://www.youtube.com/channel/UCdJ_I7Ds-pjjRMXp2Sh95lQ,1510,118063,0.0010996539568397,33.0
DayTradingRauf,https://www.youtube.com/channel/UCN-PV91KvguaTPLZPULZSbw,6600,108127,0.0010071087757486,34.0
Trading Futures Live,https://www.youtube.com/channel/UCAf6VGFC0uIvcfUNMePPzXg,2480,101560,0.0009459428936808,35.0
Day Trading Live - Интрадей Сделки MMBБ,https://www.youtube.com/channel/UCd4ig65NPpbzlehugL9g_8Q,6190,93289,0.000868905736595,36.0
Day Trading Academy,https://www.youtube.com/channel/UCrKtb-sktisdRVSZ0QK9x1g,1950,95219,0.0008868820046612,37.0
Day Trading Pro Transformation,https://www.youtube.com/channel/UC834DgaeNkYiJFp2NOiDe9w,567,87809,0.0008178643122412,38.0
Daytrading Sverige,https://www.youtube.com/channel/UCuD_VYrhKkoupjeffOzA2kQ,1530,75439,0.0007026485423039,39.0
Dr Baraka,https://www.youtube.com/channel/UCCv4D8JjqFhIGwh_pSQ62ig,3210,71321,0.0006642929610103,40.0
Day Trading Hub,https://www.youtube.com/channel/UCpWBkhVeikjtGPv-QMgleDA,1690,64188,0.0005978552821936,41.0
Live Day Trading,https://www.youtube.com/channel/UCGqO-20qzPG7V5M4pHM480A,1030,41377,0.0003853906962567,42.0
DTR | Day Trading Livestream,https://www.youtube.com/channel/UCkkh4U-3Ng-ChZ36YSop_2Q,1100,32291,0.0003007625244175,43.0
Day Trading Ajsbaaf,https://www.youtube.com/channel/UCaJit-q4jSLrEIhV5IGBm4A,760,23104,0.0002151936255967,44.0
Day Trading University,https://www.youtube.com/channel/UCQ0CQcFmlgTHaKuQo3kGPpQ,1330,20683,0.0001926441204214,45.0
Day Trading e Inversiones con David,https://www.youtube.com/channel/UC80HsOENw1-E2LSURydeWYA,5260,11725,0.0001092081570343,46.0
Day Trading Fans,https://www.youtube.com/channel/UCXmsg1QtvZggAGxLCeJoB6w,862,5283,4.920654103304397e-05,47.0
Strong Day Trading,https://www.youtube.com/channel/UCyOfJv7ngT-L5-UH3JhylNw,200,5332,4.966293333109794e-05,48.0
The Daytrading Company,https://www.youtube.com/channel/UCSXCQsyV_YAFhnG4oQ6domg,3130,0,0.0,49.0
AVA - Daytrading,https://www.youtube.com/channel/UCwJ7Y6twXTwc0GaZWA9Kh5g,2520,217,2.021165891381893e-06,50.0
